Symbol;Name;Price (Intraday);Avg Vol (3 month);Market Cap
AEE;Ameren Corporation;64.81;1.598M;15.827B
BPY;Brookfield Property Partners L.P.;18.76;3.595M;15.714B
CAH;Cardinal Health, Inc.;52.085;3.408M;15.618B
L;Loews Corporation;49.29;1.285M;15.575B
HBAN;Huntington Bancshares Incorporated;14.63;11.519M;15.53B
IQ;iQIYI, Inc.;21.72;11.188M;15.486B
MRO;Marathon Oil Corporation;17.98;10.987M;15.358B
EVRG;Evergy, Inc.;56.64;1.725M;15.388B
WTKWY;Wolters Kluwer N.V.;57.018;25073;15.377B
ETR;Entergy Corporation;84.82;1.437M;15.364B
FAST;Fastenal Company;53.29;2.71M;15.297B
SNN;Smith & Nephew plc;36.57;446312;15.292B
ABX;Barrick Gold Corporation;13.07;17.981M;15.245B
SHOP;Shopify Inc.;140.63;1.576M;15.047B
LLL;L3 Technologies, Inc.;191.19;694669;15.046B
XL;XL Group Ltd;0;1.699M;0
SWKS;Skyworks Solutions, Inc.;82.94;1.821M;14.846B
CGC;Canopy Growth Corporation;43.7418;14.33M;14.794B
NDAQ;Nasdaq, Inc.;89.44;906332;14.714B
INCY;Incyte Corporation;69.08;1.514M;14.701B
MGM;MGM Resorts International;27.44;8.328M;14.596B
DISH;DISH Network Corporation;31.01;3.071M;14.498B
KLAC;KLA-Tencor Corporation;94.44;1.746M;14.456B
SYMC;Symantec Corporation;22.68;8.397M;14.488B
GPC;Genuine Parts Company;98.48;854701;14.453B
MXIM;Maxim Integrated Products, Inc.;52.02;2.513M;14.413B
WB;Weibo Corporation;64.3;2.512M;14.32B
LEN;Lennar Corporation;44.33;4.42M;14.355B
MTCH;Match Group, Inc.;51.65;2.574M;14.302B
WPP;WPP plc;57.67;212076;14.265B
CNHI;CNH Industrial N.V.;10.51;1.341M;14.247B
CBRE;CBRE Group, Inc.;42.66;1.919M;14.166B
CTXS;Citrix Systems, Inc.;104.32;1.583M;14.152B
YUMC;Yum China Holdings, Inc.;37.03;2.871M;14.145B
